French,English,Category
Bonjour,Hello,Greetings and goodbyes
Bon matin,Good morning,Greetings and goodbyes
Bon après-midi,Good afternoon,Greetings and goodbyes
Bonsoir,Good evening,Greetings and goodbyes
Salut,Hi,Greetings and goodbyes
Coucou,Hey,Greetings and goodbyes
Re-bonjour/soir,Hello again,Greetings and goodbyes
Bonne journée,Have a good day,Greetings and goodbyes
Bonne soirée,Good evening,Greetings and goodbyes
Bonne nuit,Good night,Greetings and goodbyes
À bientôt,See you soon,Greetings and goodbyes
Au revoir,Goodbye,Greetings and goodbyes
À plus tard,See you later,Greetings and goodbyes
À plus,See you later,Greetings and goodbyes
À demain,See you tomorrow,Greetings and goodbyes
Ça va?,How's it going?,Conversation
Comment vas tu?,How are you?,Conversation
Comment allez-vous?,How are you? (formal),Conversation
Tu vas bien?,How are you?,Conversation
Ça va bien,It's going well,Conversation
Tout va bien,All is well,Conversation
Et toi?,And you?,Conversation
Enchanté,Nice to meet you,Conversation
"Ça fait longtemps, dis donc",Long time no see,Conversation
Quoi de neuf?,What's up/new?,Conversation
Salut mon gars,Hi buddy!,Conversation
Òu se trouve le supermarche?,Where can I find the supermarket?,Phrases
Je peux vous aider?,Can I help you?,Phrases
Je ne sais pas,I don't know,Phrases
Est-que,Do/does,Connecting words
Quel âge ont-elles/ils?,How old are they?,Phrases
Pourqoui pas,Why not,Phrases
À votre avis,In your opinion,Phrases
Il a lieu la semaine prochaine,It takes place next week,Phrases
Je me suis bien amusé,I had a lot of fun,Phrases
Bien fait pour toi!,It serves you right!,Phrases
Bravo!,Well done!,Phrases
Vous avez changé de coupe,You've cut your hair,Phrases
Je suis d'accord,I agree,Phrases
Je ne suis pas d'accord,I do not agree,Phrases
Pas moi,Not me,Phrases
C'est Emilie,It's Emilie,Phrases
Sortir ensemble,Go out together,Phrases
Il est proche,It is near,Phrases
"je marche lentement, pas vite","I walk slowly, not fast",Phrases
J'aime bien,I really like,Phrases
"Oui, je l'aime","Yes, I like it",Phrases
Tous les jours,Everyday,Phrases
C'est/il est comme X,It's like X,Phrases
La plupart des jours/du temps,Most days/most of the time,Phrases
Faire des achats,Go shopping,Activities
Faire du jardinage,Gardening,Activities
Permet de localiser,Allows you to locate,Phrases
J'aimerais X,I would like X,Phrases
Qu'est-ce que tu deviens,How are you doing?,Conversation
Qu'est-ce que tu as fait de beau,What have you been up to?,Conversation
Je ne le/la/les connais pas,I don't know him/her/it/them,Phrases
Puis,Then,Connecting words
Dernière,Last,Connecting words
Mais,But,Connecting words
Maintenant,Now,Connecting words
Alors,So,Connecting words
Chez,At,Connecting words
Donc,So (formal),Connecting words
A environ,Around,Connecting words
Donc il y a aussi,So there's also,Connecting words
Leur,Their,Connecting words
Son/sa,His/hers,Connecting words
Prochain,Next,Connecting words
Justqu'à,Until,Connecting words
Après vous avez,After you have,Connecting words
Trop vieux,Too old,Connecting words
Encore jeune,Still young,Connecting words
Parce que,Because,Connecting words
D'accord,Agreed,Connecting words
En retard,Late,Connecting words
A lieu,Takes place,Connecting words
C'est ca,That's it,Connecting words
C'etait,It was,Connecting words
La première fois,The first time,Connecting words
Presque,Almost,Connecting words
Est en,Is in,Connecting words
Parce que,Because,Connecting words
Moi aussi,Me too,Connecting words
Moi si,I do,Connecting words
Moi non,I don't,Connecting words
Moi non plus,Neither do I,Connecting words
Suivant,Following,Connecting words
D'abord,At first,Connecting words
Ensuite,Next,Connecting words
Après,After,Connecting words
Finalment,Lastly,Connecting words
C'est X,It is X,Connecting words
Proche,Near,Connecting words
Par semaine,Per week,Connecting words
Les commerciants du du quartier,The local shops,Phrases
Mieux,Better,Connecting words
Justement,Fairly/exactly,Connecting words
C'est pas mal,It's not bad,Connecting words
Je devrais,I would have to,Connecting words
Je pourrais,I might,Connecting words
Assez de,Enough of,Connecting words
C'est l'un des X les plus Y,It's one of the most Y X,Connecting words
Il y a X ans,X years ago,Connecting words
A été,Has been,Connecting words
Ils/elles ont vécu,They have lived,Connecting words
Le début,The beginning,Connecting words
Pendant X ,For X,Connecting words
Hier,Yesterday,Connecting words
Actuellement,Currently,Connecting words
bien que,although,Connecting words
autant de,as much/many as,Connecting words
Mobile phone,Un portable,Things
The news,Les nouvelles,Things
Les commerçants,Shops/retailers,Things
Les aliments,Food,Things
Mon meilleur ami,My best friend,Things
Des courses alimentaires,Food shopping,Activities
Les rayons fromage,The cheese section (shelves),Things
Une abeillee,A bee,Things
La ruche,The hive,Things
Une façon/manière de X,A way to do X,Things
En ligne,Online,Things
Fermier,Farmer,Things
Des achats,Purchases,Things
D'occasion,Second hand,Things
La tenue,Outfit,Things
Démodé,Out of fashion,Things
J'aime le bleu,I like the blue item,Phrases
Le chapeau,Hat,Things
Clairs/foncé,Light/dark,Things
Les gants,Gloves,Things
En cuir,In leather,Things
L'echarpe,Scarf,Things
Le manteau/la veste,Coat/jacket,Things
Des lunettes de soleil,Sunglasses,Things
Un short,Shorts,Things
Le gôut,Taste,Things
Des saveurs,Flavours,Things
"sale, sucré, acide, amer","savoury, sweet, sour, bitter",Things
Partout,Everywhere,Things
La malbouffe,Junkfood,Things
Le produit laitier,Dairy product,Things
Un foyer,Household,Things
Une assiete,A plate,Things
Un sandwich au thon,Tuna sandwich,Things
Une tarte aux pommes,Apple tart,Things
Un trou,A hole,Things
Un chômeur/une chômeuse,An unemployed person,Things
La restauration,Catering,Things
Il m'a plu,It pleased me,Things
Les embouteillages,Town traffic,Things
Les bouchons,Motorway traffic,Things
"Le (auto)car, le (auto)bus","Coach, bus",Things
Le bateau/navire,boat/ferry/ship,Things
On fait,Actually,Things
Il est d'occasion,It's second hand,Phrases
Le tâche,Task,Things
Je suis allée voir mon amie / Rendre visite à mon amie / Je rends visite à mon amie,I am going to see my friend,Phrases
Il y a eu,There were,Connecting words
Deux fois par semaine,Twice a week,Phrases
La natation,Swimming,Activities
La gestion,Management,Activities
Les déchets,(Household) waste,Things
Léger/lourd,Light/heavy,Description
Être,To be,Verbs
Avoir,To have,Verbs
Venir,To come from,Verbs
Aller,To go,Verbs
Faire,To do,Verbs
Travailler,To work,Verbs
Manger,To eat,Verbs
Habiter,To live (inhabit),Verbs
Vivre,To live,Verbs
Aimer,To like,Verbs
Regarder,To look,Verbs
Appeler,To call,Verbs
Lire,To read,Verbs
Tourner,To turn,Verbs
Vouloir,To want,Verbs
Parler,To speak,Verbs
Étudier,To study,Verbs
Pouvoir,To be able to,Verbs
Rentrer,To return,Verbs
Sortir,To leave,Verbs
Savoir,To know,Verbs
Donner,To give,Verbs
Porter,To wear,Verbs
Mourir,To die,Verbs
Naître,To be born,Verbs
Cuisiner,To cook,Verbs
Connaître,To know,Verbs
Voir,To see,Verbs
Choisir,To choose,Verbs
Rêver,To dream,Verbs
Croire,To believe,Verbs
Souhaiter,To wish,Verbs
Compter,To count,Verbs
Rencontrer,To meet (first time),Verbs
Rester,To stay,Verbs
Amener,To bring,Verbs
Permettre,To allow,Verbs
Consommer,To consume,Verbs
Jeter,To throw,Verbs
Produire,To produce,Verbs
Distribuer,To distribute,Verbs
Consommer,To consume,Verbs
Soutenir,To support,Verbs
Rassembler,To get together,Verbs
Endormir,To go to sleep,Verbs
Se taire,To keep quiet,Verbs
S'asseoir,To sit down,Verbs
Rester,To stay,Verbs
Apprendre,To learn,Verbs
Reconnaître,To recognise,Verbs
Oublier,To forget,Verbs
Habiller,To dress,Verbs
Goûter,To taste,Verbs
Ajouter,To add (ingredient),Verbs
Gaspiller,To waste food,Verbs
Apporter,To provide,Verbs
Remplacer,To replace,Verbs
Grandir,To grow,Verbs
Plaire,To please,Verbs
Nager,To swim,Verbs
Trier,To sort,Verbs
Séparer,To separate,Verbs
Incluer,To include,Verbs
Atteindre,To reach,Verbs
Casser,To break,Verbs
Le frère,Brother,Relations
La sœur,Sister,Relations
Le père,Father,Relations
La mère,Mother,Relations
Le cousin,Cousin,Relations
L'ami,Friend,Relations
Le gars,Guy (buddy),Relations
Le voisin,Neighbour,Relations
Le fils,Son/boy,Relations
La fille,Daughter/girl,Relations
Un bèbè,Baby,Relations
Un(e) enfant,Infant,Relations
Un(e) personne âgée,Old person,Relations
Un(e) adolescent,Teenager,Relations
Un(e) adulte,Adult,Relations
Un(e) petit-enfant,Grandchild,Relations
La tante,Aunt,Relations
L'oncle,Uncle,Relations
Le petit-fils,Grandson,Relations
La petite-fille,Granddaughter,Relations
Drôle,Funny,Description
Ennuyeux/ennuyeuse,Boring,Description
Bavard/bavarde,Talkative,Description
Silencieux/silencieuse,Silent,Description
Optimiste,Optimistic,Description
Pessimiste,Pessimist,Description
Rêveur/Rêveuse,Dreamer,Description
Réaliste,Realist,Description
Timide,Shy,Description
Téméraire,Bold,Description
Colérique,Angry,Description
Calme,Calm,Description
Gentil/gentille,Nice,Description
Méchant/méchante,Mean,Description
Une Pierre,Stone,Things
Une Falaise,Cliff,Things
Un Arbre,Tree,Things
Un Bâtiment,Building,Things
Un Mur,Wall,Things
Une Fleur,Flower,Things
Un Bureau,Office,Things
Une Veste,Jacket,Things
Une Chemise,Shirt,Things
Un Pantalon,Trousers,Things
Une Chaussure,Shoes,Things
Une Orange,Orange,Things
Un Citron,Lemon,Things
Un Pamplemousse,Grapefruit,Things
Une Banane,Banana,Things
Une Pomme,Apple,Things
Une Poire,Pear,Things
Une Tomate,Tomato,Things
Un Citron vert,Lime,Things
Une Framboise,Raspberry,Things
Une Cerise,Cherry,Things
Une Fraise,Strawberry,Things
Une Pêche,Peach,Things
Un Abricot,Apricot,Things
Une Pastèque,Watermelon,Things
Un Raisin,Grape,Things
Un Grenade,Pomegranite,Things
Une Mangue,Mango,Things
Un Poireau,Leek,Things
Un Carotte,Carrot,Things
Un Brocoli,Broccoli,Things
Un Panais,Parsnip,Things
Une Pomme de terre,Potato,Things
Un Navet,Turnip,Things
Un Chou-fleur,Cauliflour,Things
Une Courge,Butternut squash,Things
Un Fenouil,Fennel,Things
Une Ail,Garlic,Things
Une Échalot,Shallot,Things
Un Céleri-rave,Celeriac,Things
Un Céleri branche,Celery,Things
Une Betterave,Beetroot,Things
Un Oignon,Onion,Things
Un Poivron,Pepper,Things
Un Concombre,Cucumber,Things
Une Salade,Lettuce,Things
Un Artichaut,Artichoke,Things
Une Asperge,Asparagus,Things
Qui,Who,Question words
Que,What,Question words
Quoi,What,Question words
Où,Where,Question words
Quand,When,Question words
Pourquoi,Why,Question words
Comment,How,Question words
Combien,How much/many,Question words
Quel(s)/quelle(s),What,Question words
À qui,Whose,Question words
